participant_id	liming_nordic.specificity	liming_nordic.s1	liming_nordic.aca	roam_nordic.specificity	roam_nordic.s1	roam_nordic.aca	rabies_icaaroma_nordic.specificity	rabies_icaaroma_nordic.s1	rabies_icaaroma_nordic.aca	ednixgd_nordic.specificity	ednixgd_nordic.s1	ednixgd_nordic.aca	ednixgsr_nordic.specificity	ednixgsr_nordic.s1	ednixgsr_nordic.aca	zipp_nordic.specificity	zipp_nordic.s1	zipp_nordic.aca
sub-301504	no	0.07141	-0.00443	no	0.01764	0.03426	no	0.00744	-0.09068	no	-0.00879	-0.03168	no	-0.01162	-0.02805	NA	NA	NA
sub-301505	specific	0.32506	0.04748	no	0.05106	-0.03563	no	0.09404	0.0456	specific	0.21171	-0.06884	specific	0.20608	-0.06365	specific	0.28005	-0.12079
sub-301506	no	-0.01957	-0.02796	no	0.0996	0.01156	no	0.0452	0.05517	no	0.09818	-0.06183	specific	0.10823	-0.06379	spurious	0.39868	0.14424
sub-301507	specific	0.12021	0.04915	specific	0.12639	0.01689	no	0.03652	-0.04944	no	0.06185	-0.02863	no	0.05508	-0.01384	specific	0.21805	-0.0552
sub-301508	specific	0.19084	0.00414	specific	0.19797	0.01341	no	0.07972	0.07104	no	0.07313	0.06071	no	0.06832	0.05674	specific	0.2329	-0.0085
sub-301509	specific	0.21076	0.09802	no	0.07051	-0.04241	spurious	0.11839	0.28156	specific	0.12743	-0.02906	specific	0.13796	-0.03838	specific	0.17401	-0.04282
sub-301600	spurious	0.32102	0.30003	spurious	0.28255	0.10662	specific	0.14686	-0.10766	spurious	0.16438	0.14467	spurious	0.17334	0.13721	spurious	0.52463	0.29122
sub-301601	specific	0.3588	0.06867	specific	0.11089	0.04622	specific	0.14599	0.05673	spurious	0.15886	0.12788	spurious	0.20747	0.13388	specific	0.39374	-0.14842
sub-301602	spurious	0.57963	0.37249	spurious	0.31957	0.18443	specific	0.23392	0.02711	specific	0.10453	-0.03794	specific	0.1195	-0.04047	spurious	0.64773	0.3003
sub-301603	spurious	0.56958	0.14707	specific	0.37076	-0.01588	specific	0.36012	-0.10619	spurious	0.30486	0.16647	spurious	0.38186	0.21067	specific	0.46798	-0.0429
sub-301604	spurious	0.24735	0.19181	non-specific	0.06047	0.17312	specific	0.15569	-0.06265	no	0.08958	-0.01322	no	0.08476	-0.01415	spurious	0.488	0.33929
sub-301605	spurious	0.26882	0.12436	specific	0.12321	-0.06817	no	-0.02647	-0.06069	specific	0.1086	0.08879	no	0.09771	0.09477	spurious	0.23784	0.1096
sub-301606	spurious	0.11779	0.1408	no	-0.04227	0.01814	spurious	0.03761	-0.10639	no	0.05768	-0.00552	no	0.05037	-0.00209	specific	0.43566	-0.01457
sub-301607	spurious	0.50719	0.4171	spurious	0.57335	0.36799	non-specific	0.03566	0.17905	spurious	0.27172	0.26442	spurious	0.35586	0.35643	spurious	0.79559	0.62151
sub-301608	specific	0.10503	-0.00363	no	0.03732	-0.03815	no	0.00438	0.08391	no	-0.02472	-0.01856	no	-0.02487	-0.01213	specific	0.16975	0.056
sub-301609	spurious	0.13858	0.14104	specific	0.31219	0.0999	no	0.02385	-0.0355	specific	0.16437	0.06879	specific	0.15203	0.0547	spurious	0.41502	0.22429
sub-301700	no	0.04649	-0.02703	specific	0.12334	-0.00402	no	-0.06746	-0.04794	no	0.06184	0.02473	no	0.08024	0.02025	spurious	0.2737	0.33902
sub-301701	spurious	0.17511	0.11509	specific	0.20786	0.06713	no	0.08385	-0.04704	no	0.05962	0.04194	no	0.0617	0.03873	specific	0.34906	-0.01571
sub-301702	spurious	0.1625	0.20894	specific	0.30862	-0.03237	specific	0.16791	-0.04604	no	0.07972	0.0039	no	0.0887	0.00836	specific	0.43128	0.08687
sub-301703	no	-0.0972	0.07209	specific	0.1473	0.09164	specific	0.10028	-0.0353	no	0.00518	0.08288	no	-0.01968	0.08079	specific	0.36773	-0.04844
sub-301704	non-specific	0.08614	0.2179	specific	0.1043	0.02794	no	0.04121	0.09566	no	0.05732	-0.03532	no	0.08212	-0.07024	spurious	0.16803	0.162
sub-301705	specific	0.13655	0.03994	specific	0.14122	-0.03345	non-specific	-0.00722	0.11229	no	-0.01216	-0.09442	no	-0.0063	-0.0854	no	0.08178	0.05327
sub-301706	spurious	0.4603	0.23341	specific	0.19829	0.02	no	0.00576	-0.01552	no	0.09778	0.03864	no	0.08458	0.03869	no	0.09236	-0.03473
sub-301707	spurious	0.29912	0.19566	specific	0.21581	0.06848	specific	0.23438	-0.02784	no	0.0041	0.00291	no	0.01679	0.00091	spurious	0.51562	0.3451
sub-301708	specific	0.1991	0.04034	no	0.05957	-0.01378	no	0.04622	-0.0833	no	0.05591	0.03641	no	0.05856	0.03284	spurious	0.52735	0.25679
sub-301709	spurious	0.14477	0.12203	no	0.07988	0.00788	no	-0.07582	0.00114	no	0.08257	0.04502	no	0.07388	0.04515	no	0.06909	0.06259
sub-301800	spurious	0.31566	0.14442	no	-0.01386	-0.0121	no	0.05648	-0.01354	NA	NA	NA	non-specific	0.03848	0.10706	specific	0.18751	0.01474
sub-301801	specific	0.20786	-0.04195	no	-0.03381	-0.06979	no	0.01767	0.05876	no	-0.00972	-0.01858	no	0.00148	-0.02379	specific	0.13737	-0.14326
sub-301802	non-specific	0.0889	0.22447	specific	0.12382	0.05888	no	0.04347	-0.03578	specific	0.11068	0.06953	specific	0.10195	0.05499	spurious	0.24074	0.20831
sub-301803	spurious	0.1676	0.13964	no	0.09069	-0.02794	no	0.02689	-0.043	no	0.00832	0.0047	no	0.02224	0.00201	specific	0.20037	-0.05711
sub-301804	specific	0.28802	0.09777	specific	0.13064	0.04584	specific	0.10943	-0.07765	no	0.00928	0.08173	no	0.00135	0.07445	spurious	0.35412	0.13197
sub-301805	spurious	0.24787	0.11121	specific	0.13329	0	specific	0.1351	0.02921	specific	0.10155	0.00553	specific	0.1002	0.00548	spurious	0.39785	0.21894
sub-301806	spurious	0.11006	0.15915	no	0.06515	-0.08755	no	-0.00924	-0.08093	no	0.09272	0.06299	no	0.09184	0.05863	specific	0.25515	0.04563
sub-301807	non-specific	0.09762	0.18268	no	-0.03707	-0.04244	no	0.07793	-0.04243	no	0.04738	0.00012	no	0.05997	-0.00197	specific	0.26195	0.07021
sub-301808	spurious	0.19347	0.10201	no	0.02703	-0.03198	no	0.02452	-0.01833	no	-0.05858	-0.08257	no	-0.05277	-0.09671	specific	0.18927	-0.02508
sub-301809	spurious	0.34922	0.2418	specific	0.20786	-0.015	no	0.02444	0.04554	specific	0.11022	0.03292	specific	0.10466	0.04361	specific	0.28287	-0.02891
sub-301900	spurious	0.18239	0.13532	spurious	0.20392	0.15839	non-specific	0.04656	0.237	spurious	0.10825	0.16062	no	0.05178	0.09907	spurious	0.61214	0.91728
sub-301901	spurious	0.40347	0.2339	spurious	0.24219	0.18528	non-specific	-0.06041	0.1216	no	0.04974	0.05036	no	0.03167	0.02614	NA	NA	NA
sub-301902	specific	0.43728	0.02261	no	-0.04865	-0.08356	specific	0.16876	0.09688	spurious	0.15349	0.13163	non-specific	0.06372	0.16734	spurious	0.15628	0.8155
sub-301903	specific	0.17778	-0.05088	spurious	0.2777	0.12428	no	0.04925	0.01709	no	0.06625	0.08462	non-specific	0.02416	0.12135	spurious	0.33232	0.61488
sub-301904	specific	0.44858	0.05767	no	-0.00432	-0.01348	spurious	0.11308	0.10768	spurious	0.21652	0.15084	spurious	0.19673	0.14987	spurious	0.56156	0.82748
sub-301905	specific	0.25844	0.08007	spurious	0.20424	0.18141	spurious	0.12962	0.16818	spurious	0.31131	0.10118	spurious	0.24134	0.12406	spurious	0.32983	0.72763
sub-301906	specific	0.1703	-0.01202	no	0.08432	-0.05472	specific	0.15224	0.0936	non-specific	0.02558	0.14871	no	0.05178	0.09907	spurious	0.30815	0.77237
sub-301907	spurious	0.39215	0.2206	spurious	0.40902	0.10427	specific	0.35859	-0.08726	spurious	0.28025	0.12624	spurious	0.2592	0.18807	spurious	0.43895	0.82936
sub-301908	specific	0.32573	0.02516	specific	0.28641	-0.00896	spurious	0.18384	0.16819	specific	0.23843	0.09435	specific	0.24734	0.07362	spurious	0.55196	0.53
sub-301909	spurious	0.49666	0.1938	specific	0.24921	0.0238	specific	0.33816	0.02671	specific	0.39095	0.01511	specific	0.36574	0.05925	spurious	0.46173	0.421
sub-302000	specific	0.13663	-0.06177	no	-0.05359	-0.01244	no	-0.04625	-0.06935	non-specific	0.08712	0.12992	non-specific	0.09075	0.11256	specific	0.20624	0.06247
sub-302001	no	0.03834	0.00996	specific	0.35628	0.03888	specific	0.19587	0.03719	no	0.06705	0.0498	specific	0.10221	0.03186	specific	0.24675	0.04721
sub-302002	specific	0.11961	0.08648	non-specific	0.05287	0.10514	no	0.01431	-0.00359	specific	0.11933	-0.03433	specific	0.11627	-0.01216	specific	0.40793	0.09902
sub-302003	specific	0.19661	-0.0065	spurious	0.36494	0.38972	spurious	-0.12895	-0.02473	no	0.03432	0.03774	no	0.02931	0.05085	spurious	0.57296	0.43861
sub-302004	no	-0.07684	-0.07117	specific	0.13662	0.05133	specific	0.15024	0.06347	specific	0.14145	0.01619	specific	0.18302	-0.00119	specific	0.43053	0.08557
sub-302005	specific	0.22637	-0.01224	specific	0.21463	-0.00658	no	0.02435	0.01135	specific	0.13598	-0.00662	specific	0.14307	-0.00678	spurious	0.48267	0.19822
sub-302006	specific	0.25218	-0.07218	no	0.05038	-0.06411	no	0.07945	-0.0406	no	0.07603	0.06226	no	0.08275	0.06597	spurious	0.51986	0.12324
sub-302007	specific	0.2033	-0.11799	specific	0.161	0.09507	no	0.04786	0.00404	no	0.07833	0.06502	no	0.08077	0.05782	specific	0.54632	0.0537
sub-302008	specific	0.10586	0.06805	no	0.06378	0.02795	no	-0.04739	-0.09484	spurious	0.24933	0.18176	spurious	0.25965	0.17204	spurious	0.3954	0.15756
sub-302009	specific	0.23758	0.07973	no	0.04729	0.05059	no	-0.00278	-0.00678	no	0.03967	0.00087	no	0.06184	-0.00103	specific	0.50299	-0.04938
sub-302100	spurious	0.11237	0.19283	no	0.05717	0.08965	non-specific	0.04534	0.11016	no	-0.02786	0.0336	no	-0.0158	0.036	spurious	0.27901	0.27491
sub-302101	no	0.05544	0.08641	no	0.03326	0.07647	no	0.06968	0.06342	no	-0.04773	0.00788	no	-0.0473	0.01176	non-specific	0.04531	0.11634
sub-302102	spurious	0.21556	0.10675	no	-0.06725	0.0212	non-specific	-0.10504	0.10908	spurious	-0.08928	-0.10234	no	-0.09014	-0.09168	spurious	0.122	0.19117
sub-302103	spurious	0.11701	0.16415	no	0.0451	-0.05206	no	0.03894	0.06198	spurious	0.04483	-0.11594	spurious	0.04259	-0.11057	spurious	0.28379	0.27462
sub-302104	no	0.04657	0.04482	no	-0.02697	-0.07625	no	-0.02586	-0.03334	no	-0.04233	0.07935	no	-0.04161	0.07042	no	0.04483	0.04727
sub-302105	spurious	0.12968	0.13128	no	0.07002	-0.04264	spurious	0.07524	-0.14386	no	0.08373	0.06506	no	0.05547	0.05638	no	0.08044	0.05959
sub-302106	spurious	0.21217	0.13723	specific	0.1377	0.02341	no	0.02778	0.05191	no	0.04521	0.08961	no	0.04364	0.08934	spurious	0.31121	0.20955
sub-302107	spurious	0.54062	0.34309	specific	0.32705	0.02163	specific	0.13116	-0.06729	specific	0.13733	0.0149	specific	0.12176	-0.0052	spurious	0.57223	0.19999
sub-302108	specific	0.15691	0.04985	no	0.09576	-0.0235	no	-0.06002	-0.07061	no	0.0949	0.00491	specific	0.11036	-0.00383	spurious	0.4695	0.22582
sub-302109	spurious	0.18991	0.24847	non-specific	0.02429	0.24489	no	-0.03932	-0.07084	no	0.04097	0.02124	no	0.04195	0.02065	spurious	0.26346	0.18417
